序号,类别,标题,起始页,结束页,页数,相对路径
119,小节,16.1 Aggregate analysis,595,600,6,Part_IV_Advanced_Design_and_Analysis_Techniques/16_Amortized_Analysis/16.1_Aggregate_analysis.pdf
120,小节,16.2 The accounting method,600,604,5,Part_IV_Advanced_Design_and_Analysis_Techniques/16_Amortized_Analysis/16.2_The_accounting_method.pdf
121,小节,16.3 The potential method,604,609,6,Part_IV_Advanced_Design_and_Analysis_Techniques/16_Amortized_Analysis/16.3_The_potential_method.pdf
122,小节,16.4 Dynamic tables,609,624,16,Part_IV_Advanced_Design_and_Analysis_Techniques/16_Amortized_Analysis/16.4_Dynamic_tables.pdf
123,篇引言,Introduction,631,633,3,Part_V_Advanced_Data_Structures/Introduction.pdf
124,小节,17.1 Dynamic order statistics,634,642,9,Part_V_Advanced_Data_Structures/17_Augmenting_Data_Structures/17.1_Dynamic_order_statistics.pdf
125,小节,17.2 How to augment a data structure,642,646,5,Part_V_Advanced_Data_Structures/17_Augmenting_Data_Structures/17.2_How_to_augment_a_data_structure.pdf
126,小节,17.3 Interval trees,646,654,9,Part_V_Advanced_Data_Structures/17_Augmenting_Data_Structures/17.3_Interval_trees.pdf
127,章标题页,18 B-Trees,656,660,5,Part_V_Advanced_Data_Structures/18_B-Trees/18_B-Trees_标题页.pdf
128,小节,18.1 Definition of B-trees,661,665,5,Part_V_Advanced_Data_Structures/18_B-Trees/18.1_Definition_of_B-trees.pdf
129,小节,18.2 Basic operations on B-trees,665,676,12,Part_V_Advanced_Data_Structures/18_B-Trees/18.2_Basic_operations_on_B-trees.pdf
130,小节,18.3 Deleting a key from a B-tree,676,680,5,Part_V_Advanced_Data_Structures/18_B-Trees/18.3_Deleting_a_key_from_a_B-tree.pdf
131,小节,19.1 Disjoint-set operations,684,688,5,Part_V_Advanced_Data_Structures/19_Data_Structures_for_Disjoint_Sets/19.1_Disjoint-set_operations.pdf
132,小节,19.2 Linked-list representation of disjoint sets,688,693,6,Part_V_Advanced_Data_Structures/19_Data_Structures_for_Disjoint_Sets/19.2_Linked-list_representation_of_disjoint_sets.pdf
133,小节,19.3 Disjoint-set forests,693,698,6,Part_V_Advanced_Data_Structures/19_Data_Structures_for_Disjoint_Sets/19.3_Disjoint-set_forests.pdf
134,小节,★ 19.4 Analysis of union by rank with path compression,698,710,13,Part_V_Advanced_Data_Structures/19_Data_Structures_for_Disjoint_Sets/19.4_Analysis_of_union_by_rank_with_path_compression.pdf
135,篇引言,Introduction,716,717,2,Part_VI_Graph_Algorithms/Introduction.pdf
136,小节,20.1 Representations of graphs,718,724,7,Part_VI_Graph_Algorithms/20_Elementary_Graph_Algorithms/20.1_Representations_of_graphs.pdf
137,小节,20.2 Breadth-first search,724,736,13,Part_VI_Graph_Algorithms/20_Elementary_Graph_Algorithms/20.2_Breadth-first_search.pdf
138,小节,20.3 Depth-first search,736,747,12,Part_VI_Graph_Algorithms/20_Elementary_Graph_Algorithms/20.3_Depth-first_search.pdf
139,小节,20.4 Topological sort,747,750,4,Part_VI_Graph_Algorithms/20_Elementary_Graph_Algorithms/20.4_Topological_sort.pdf
140,小节,20.5 Strongly connected components,750,757,8,Part_VI_Graph_Algorithms/20_Elementary_Graph_Algorithms/20.5_Strongly_connected_components.pdf
141,章标题页,21 Minimum Spanning Trees,762,762,1,Part_VI_Graph_Algorithms/21_Minimum_Spanning_Trees/21_Minimum_Spanning_Trees_标题页.pdf
142,小节,21.1 Growing a minimum spanning tree,763,769,7,Part_VI_Graph_Algorithms/21_Minimum_Spanning_Trees/21.1_Growing_a_minimum_spanning_tree.pdf
